keys,en
RESULTS_STAR_RULES,"Stars: finish, use 1 hint or fewer, finish under %s."
RESULTS_SHELLS,+%d seashells
CONTINUE,Continue
REPLAY,Play again
MENU_TRY_ROOM,Try the test room
MENU_PLAY,Start your first sunrise
MENU_CONTINUE,Mamie's Sunrise Book
MENU_DAILY,Daily Sunrise
MENU_DAILY_DONE,Daily Sunrise (done today!)
MENU_PENTHOUSE,The sunroom
MENU_SCRAPBOOK,Scrapbook
MENU_SETTINGS,Settings
BACK,Back
OK,OK
CANCEL,Never mind
BOOK_TITLE,Mamie's Sunrise Book
TIER_TITLE,Sunrise %d
GATE_NEEDS,Needs %d stars
LOCKED_TITLE,Not yet!
LOCKED_PREVIOUS,Finish the sunrise before this one first.
LOCKED_STARS,"This page opens with %d stars. Replay earlier rooms for more stars: finish quickly, and ask for 1 hint or fewer."
LOCKED_SOON,This room is still being decorated. Check back soon!
LEVEL_POPUP_TITLE,Sunrise %d
LEVEL_POPUP_TEXT,"Play the same puzzle again, or one of Mamie's other riddles in this room?"
PLAY_AGAIN_SAME,Same puzzle again
PLAY_FRESH,A fresh puzzle
POSTCARD_HERE,A postcard is hidden in this room!
ENDLESS_TITLE,Endless Sunrise
ENDLESS_LOCKED,Finish all 30 sunrises to unlock endless puzzles that keep getting trickier.
ENDLESS_READY,Puzzles that keep getting trickier. How far can you go?
ENDLESS_BEST,Best so far: Sunrise %d
ENDLESS_PLAY,Play Endless
UNLOCK_NEXT,The next sunrise is unlocked!
UNLOCK_GATE,Sunrise %d is open now!
UNLOCK_ENDLESS,You've finished Mamie's book! Endless Sunrise is open.
NEXT_LEVEL,Next sunrise
NEXT_ENDLESS,Next endless sunrise
BACK_TO_BOOK,Back to the book
HUB_TITLE,The sunroom
HUB_TIP,"This is your sunroom now. Tap Decorate to make it yours, and spend seashells at the Saturday market!"
DECORATE,Decorate
DECORATE_DONE,Done
DECORATE_HINT,"Tap a + to place something, or tap your decor to move, flip or put it away."
DECOR_MOVE,Move it
DECOR_MOVE_HINT,Tap an empty spot to move it there.
DECOR_FLIP,Flip it
DECOR_STORE,Put it away
DECOR_PICK_TITLE,What goes here?
DECOR_OWNED,You have %d (%d to place)
DECOR_PRICE,%d seashells
DECOR_PLACE,Place it
DECOR_BUY,Buy for %d
DECOR_BOUGHT,"%s is yours! Use Decorate to place it."
DECOR_LOCKED,Earn it
CATALOG_BUTTON,Saturday market
CATALOG_TITLE,The Saturday market
REWARD_LEVEL,Finish sunrise %d to earn this.
REWARD_STREAK,Play the Daily Sunrise %d days in a row to earn this.
REWARD_POSTCARDS,Find all the postcards from Mamie's life to earn this.
REWARD_SECRET,A secret reward...
UNLOCK_DECOR,New for the house: %s!
WEEKDAY_0,Sunday
WEEKDAY_1,Monday
WEEKDAY_2,Tuesday
WEEKDAY_3,Wednesday
WEEKDAY_4,Thursday
WEEKDAY_5,Friday
WEEKDAY_6,Saturday
WEEKDAY_SHORT_0,Sun
WEEKDAY_SHORT_1,Mon
WEEKDAY_SHORT_2,Tue
WEEKDAY_SHORT_3,Wed
WEEKDAY_SHORT_4,Thu
WEEKDAY_SHORT_5,Fri
WEEKDAY_SHORT_6,Sat
MONTH_1,January
MONTH_2,February
MONTH_3,March
MONTH_4,April
MONTH_5,May
MONTH_6,June
MONTH_7,July
MONTH_8,August
MONTH_9,September
MONTH_10,October
MONTH_11,November
MONTH_12,December
DAILY_TODAY,Today's sunrise (%s)
DAILY_PLAY,Play today's sunrise
DAILY_PLAY_AGAIN,Play it again (just for fun)
DAILY_DONE_TEXT,Done for today with %d stars. See you tomorrow!
DAILY_STREAK_LABEL,%d-day streak   (best: %d)
DAILY_SLEEP_IN_FREE,"Weekly sleep-in: free. Miss a day this week and your streak still counts."
DAILY_SLEEP_IN_TAKEN,Weekly sleep-in: used this week. It comes back on Monday.
DAILY_NEXT_REWARD,%d more days for: %s
CALENDAR_HELP,Every sunrise you finish paints its day in the calendar.
DAILY_STREAK,"Daily streak: %d days!"
DAILY_SLEEP_IN_USED,You slept in - your weekly sleep-in kept the streak going.
BACK_TO_CALENDAR,Back to the calendar
POSTCARD_ALL_FOUND,You found every postcard! Mamie's last letter is in the scrapbook.
SCRAPBOOK_TITLE,Céline's scrapbook
SCRAPBOOK_COUNT,%d of %d postcards
SCRAPBOOK_LETTER,Read Mamie's last letter
SCRAPBOOK_LETTER_LOCKED,Find all the postcards to read Mamie's last letter
SCRAPBOOK_MISSING,A postcard is still hidden somewhere...
SCRAPBOOK_HINT,Hidden somewhere in Sunrise %d
POSTCARD_TURN,Turn it over
SETTINGS_MASTER,Everything
SETTINGS_MUSIC,Music
SETTINGS_SFX,Sound effects
SETTINGS_AMBIENCE,Ocean sounds
SETTINGS_FULLSCREEN,Full screen
SETTINGS_TIMER,Show a timer in rooms
SETTINGS_REDUCE_MOTION,Reduce motion
SETTINGS_TEXT_SIZE,Text size
SETTINGS_TEXT_NOTE,Takes effect on the next screen.
SETTINGS_CREDITS,Credits
SETTINGS_RESET,Start over...
SETTINGS_DONE,Done
CREDITS_TEXT,"Sunrise Suite - made with Godot Engine.\nArt and sound effects made for this game (sounds with jsfxr).\nMusic made with Suno.\nFonts: Nunito and Caveat (SIL Open Font License).\nFor every grandmother who ever hid a riddle."
RESET_TITLE,Start over?
RESET_TEXT,"This erases your stars, seashells, decor, postcards and streak. It can't be undone."
RESET_YES,"Yes, start over"
RESET_NO,"No, keep my progress"
ROTATE_HINT,Turn your phone sideways for the best sunrise view.
ROTATE_OK,Play like this anyway
STEPS_INFO,%d of %d steps
RESULTS_NEW_BEST,New best time!
MENU_NEXT,Next sunrise: %d
DIFF_EASY,Gentle
DIFF_MEDIUM,Medium
DIFF_HARD,Tricky
BEST_TIME,Best %s
